Epoch, 0, mode, training, obj values, 2.4643721444159747, obj std, 1.4407107392452234 
Epoch, 0, mode, testing, obj values, 2.3988729998469354, obj std, 1.6025930608034291 
Epoch, 1, mode, training, obj values, 2.4040954522788525, obj std, 1.4520935119954883 
Epoch, 1, mode, testing, obj values, 2.3847690761089324, obj std, 1.6059562137063619 
Epoch, 2, mode, training, obj values, 2.3924703976511954, obj std, 1.45251320216514 
Epoch, 2, mode, testing, obj values, 2.3780684316158296, obj std, 1.606339542652544 
Epoch, 3, mode, training, obj values, 2.3858286878466606, obj std, 1.4514092160651721 
Epoch, 3, mode, testing, obj values, 2.3746411460638046, obj std, 1.6057109843887305 
Epoch, 4, mode, training, obj values, 2.3835848531126977, obj std, 1.4513117279515284 
Epoch, 4, mode, testing, obj values, 2.3648816657066347, obj std, 1.6043596142044754 
Epoch, 5, mode, training, obj values, 2.380290252789855, obj std, 1.4479233764738988 
Epoch, 5, mode, testing, obj values, 2.3612004470825196, obj std, 1.6019701556277326 
Epoch, 6, mode, training, obj values, 2.373934257775545, obj std, 1.4436200031025321 
Epoch, 6, mode, testing, obj values, 2.359163917303085, obj std, 1.601329153963172 
Epoch, 7, mode, training, obj values, 2.369323013275862, obj std, 1.4421238194399235 
Epoch, 7, mode, testing, obj values, 2.357327972650528, obj std, 1.5982885878721096 
Epoch, 8, mode, training, obj values, 2.36768446713686, obj std, 1.4416438808401213 
Epoch, 8, mode, testing, obj values, 2.352761620879173, obj std, 1.5950737154142967 
Epoch, 9, mode, training, obj values, 2.3637363032996657, obj std, 1.4400557792135995 
Epoch, 9, mode, testing, obj values, 2.351062539815903, obj std, 1.5921640957804462 
