Epoch, -2, mode, training, loss, 0.0, loss std, 0.0 
Epoch, -2, mode, testing, loss, 0.0, loss std, 0.0 
Epoch, -1, mode, training, loss, 3.6184164494276048, loss std, 0.30451128103026925 
Epoch, -1, mode, testing, loss, 3.615564735730489, loss std, 0.2816575174481354 
Epoch, 0, mode, training, loss, 3.617615048090617, loss std, 0.2820340207421424 
Epoch, 0, mode, testing, loss, 3.6182018160820006, loss std, 0.2615364735545496 
Epoch, 1, mode, training, loss, 3.6491838465134303, loss std, 0.29557671133150804 
Epoch, 1, mode, testing, loss, 3.705776317914327, loss std, 0.37085417856781155 
Epoch, 2, mode, training, loss, 3.8446375588576, loss std, 0.4969563524342237 
Epoch, 2, mode, testing, loss, 4.067628395557404, loss std, 0.6988300566831094 
Epoch, 3, mode, training, loss, 4.506490506728491, loss std, 0.9649992408901361 
Epoch, 3, mode, testing, loss, 5.0808161417643225, loss std, 1.2441875097193058 
Epoch, 4, mode, training, loss, 5.871572170654932, loss std, 1.5179491243276577 
Epoch, 4, mode, testing, loss, 6.70277902285258, loss std, 1.7939989494242041 
Epoch, 5, mode, training, loss, 7.412852181990941, loss std, 1.8683799366007467 
Epoch, 5, mode, testing, loss, 8.026191127300262, loss std, 2.1164584868457537 
Epoch, 6, mode, training, loss, 8.398150712251663, loss std, 2.0778419400542676 
Epoch, 6, mode, testing, loss, 8.674805919329325, loss std, 2.2425107151546326 
Epoch, 7, mode, training, loss, 8.840654059251149, loss std, 2.1410446279340816 
Epoch, 7, mode, testing, loss, 8.960572679837545, loss std, 2.291420999105556 
Epoch, 8, mode, training, loss, 9.040710113445918, loss std, 2.1714685543321233 
Epoch, 8, mode, testing, loss, 9.099284021059672, loss std, 2.313319203748238 
Epoch, 9, mode, training, loss, 9.142491489648819, loss std, 2.1857215574647952 
Epoch, 9, mode, testing, loss, 9.17523140112559, loss std, 2.324687707884581 
